Title,Author,Genre,Rating_Average,Rating_Counts,Description,Page_Numbers,ISBN,Language,Published_Year,Cover_URL,Book_Link
Roughing It,Mark Twain,"19th century, American Authors, Biography",4.2,5.0,"Mój brat otrzymał nominację na sekretarza Terytorium Newady; był to urząd świetny, skupiający w sobie obowiązki i honory skarbnika, kontrolera generalnego, sekretarza stanowego, a także gubernatora w nieobecności tego ostatniego.",558,9780486427041,fre,1872,https://covers.openlibrary.org/b/id/9165528-L.jpg,https://openlibrary.org/works/OL54059W
The Tenant of Wildfell Hall,Anne Brontë,"Fiction, Married women, Landlord and tenant",3.6875,16.0,You must go back with me to the autumn of 1827.,432,9781850893639,eng,1847,https://covers.openlibrary.org/b/id/1023552-L.jpg,https://openlibrary.org/works/OL260101W
Ben Hur,Lew Wallace,"Fiction, Historical fiction, Fiction, christian, historical",3.5714285,7.0,"The Jebel es Zubleh is a mountain fifty miles and more in length, and so narrow that its tracery on the map gives it a likeness to a caterpillar crawling from the south to the north.",506,9684169043,eng,1800,https://covers.openlibrary.org/b/id/6456470-L.jpg,https://openlibrary.org/works/OL240210W
Saint Francis of Assisi,Gilbert Keith Chesterton,"Biography & Autobiography, Nonfiction, Philosophy",3.5,2.0,A sketch of St. Francis of Assisi in modern English may be written in one of three ways.,152,9781389443039,eng,1923,https://covers.openlibrary.org/b/id/502618-L.jpg,https://openlibrary.org/works/OL76399W
Van Gogh,Federico Zeri,"Impressionnisme (Art), Impressionism (Art), Criticism and interpretation",5.0,4.0,No description available,66,9780714816319,rum,1937,https://covers.openlibrary.org/b/id/773443-L.jpg,https://openlibrary.org/works/OL518261W
Goethe's Werke,Johann Wolfgang von Goethe,"Translations into English, Knowledge, Science",3.6,5.0,No description available,143,9783423059466,ger,1800,https://covers.openlibrary.org/b/id/5760460-L.jpg,https://openlibrary.org/works/OL15116693W
The works of Washington Irving,Washington Irving,"American Authors, Collected works, Description and travel",4.0,2.0,No description available,308,9780665293665,eng,1800,https://covers.openlibrary.org/b/id/8242347-L.jpg,https://openlibrary.org/works/OL63910W
Leonardo,Leonardo da Vinci,"Exhibitions, Knowledge, Early works to 1800",3.9487178,39.0,"TOWARD THE MIDDLE of the sixteenth centry, the prolific Gliorgio Vasari, a mediocre painter but a respectable architect (he designed the Uffizi in Florence), began to document the lives of the greatest Italian artists.",140,0613836219,eng,1946,https://covers.openlibrary.org/b/id/919361-L.jpg,https://openlibrary.org/works/OL695408W
Архипелаг ГУЛАГ,Александр Исаевич Солженицын,"Political prisoners, Concentration camps, Prisons",4.571429,14.0,"""Only those can understand us who ate from the same bowl with us""",579,0809604795,eng,1970,https://covers.openlibrary.org/b/id/12715912-L.jpg,https://openlibrary.org/works/OL272388W
Edvard Munch,Edvard Munch,"Art, Art collections, Biography",,,No description available,95,9788883470073,nor,1927,https://covers.openlibrary.org/b/id/6748093-L.jpg,https://openlibrary.org/works/OL136192W
Way to wealth,Benjamin Franklin,"American Maxims, Biography, Early works to 1800",4.0,2.0,No description available,35,N/A,ger,1758,https://covers.openlibrary.org/b/id/6112107-L.jpg,https://openlibrary.org/works/OL26610W
Papillon,Henri Charrière,"Prisoners, biography, Escapes, Prisoners",4.4444447,18.0,IT WAS A KNOCKOUT BLOW-a punch so overwhelming that I didn't get back on my feet for fourteen years.,560,9782266118354,eng,1969,https://covers.openlibrary.org/b/id/8752-L.jpg,https://openlibrary.org/works/OL262984W
Picasso,William S. Lieberman,"Animals in art, Art, Art collections",3.5,4.0,No description available,135,185995118X,eng,1932,https://covers.openlibrary.org/b/id/2238081-L.jpg,https://openlibrary.org/works/OL145190W
Captains Courageous,Rudyard Kipling,"Teenage boys, Fishers, Fiction",4.5,2.0,"THE weather door of the smoking-room had been left open to the North Atlantic fog, as the big liner rolled and lifted, whistling to warm the fishing-fleet.",150,9798666230251,eng,1896,https://covers.openlibrary.org/b/id/12819857-L.jpg,https://openlibrary.org/works/OL19842W
Livro do Desassossego,Fernando Pessoa,"Portuguese Poets, Poetas portugueses, Fiction",3.857143,7.0,"Nasci num tempo em que a maioria dos jovens tinham perdido a crença em Deus, pela mesma razão que os seus maiores a tinham tido — sem saber porquê.",472,8526802895,por,1982,https://covers.openlibrary.org/b/id/900685-L.jpg,https://openlibrary.org/works/OL847061W
The complete poetical works,Robert Burns,"Biography, Children's poetry, Scottish, Correspondence",4.0,2.0,"MY loved, my honoured, much respected friend!",366,1872286623,gla,1786,https://covers.openlibrary.org/b/id/9048263-L.jpg,https://openlibrary.org/works/OL766052W
Quo Vadis? Powieść z czasów Nerona,Henryk Sienkiewicz,"Fiction, History, Church history",3.8888888,9.0,"PETRONIUS WOKE ONLY ABOUT midday, and as usual greatly wearied.",477,9798640167788,eng,1895,https://covers.openlibrary.org/b/id/833096-L.jpg,https://openlibrary.org/works/OL503424W
Briefe an Milena,Franz Kafka,"Austrian Authors, Authors, Biography",5.0,2.0,No description available,286,6052060166,eng,1952,https://covers.openlibrary.org/b/id/4066124-L.jpg,https://openlibrary.org/works/OL498788W
Andy Warhol,Andy Warhol,"Travel, Art collections, Abstract Art",4.75,4.0,No description available,168,9789171007865,eng,1967,https://covers.openlibrary.org/b/id/1027207-L.jpg,https://openlibrary.org/works/OL644644W
The Agony and the Ecstasy,Irving Stone,"Fiction, Artists, Biography",4.0,11.0,"HE SAT before the mirror of the second-floor bedroom sketching his lean cheeks with their high bone ridges, the flat broad forehead, and ears too far back on the head, the dark hair curling forward in thatches, the amber-colored eyes wide-set but heavy-lidded.",710,0451159470,eng,1958,https://covers.openlibrary.org/b/id/7234641-L.jpg,https://openlibrary.org/works/OL112002W
"The Federalist, or, The New Constitution",Alexander Hamilton,"Classic Literature, Fiction, open_syllabus_project",4.428571,7.0,"To the People of the State of New York: AFTER an unequivocal experience of the inefficiency of the subsisting federal government, you are called upon to deliberate on a new Constitution for the United States of America.",478,1096770474,eng,1788,https://covers.openlibrary.org/b/id/14850185-L.jpg,https://openlibrary.org/works/OL284420W
The Crucible,Arthur Miller,"fiction classics, literary criticism, historical fiction",3.4074075,81.0,"A small upper bedroom in the home of Reverend Samuel Parris, Salem, Massachusetts, in the spring of the year 1692.",151,2221191455,eng,1953,https://covers.openlibrary.org/b/id/8431392-L.jpg,https://openlibrary.org/works/OL66347W
John Barleycorn,Jack London,"Alcoholics, Alcoholism, American Authors",4.8,5.0,It all came to me one election day.,210,1070478393,eng,1913,https://covers.openlibrary.org/b/id/11954493-L.jpg,https://openlibrary.org/works/OL144798W
The Magician,William Somerset Maugham,"Fiction, Magicians, Magic",3.75,4.0,ARTHUR BURDON and Dr Porhoet walked in silence.,256,9798574266427,eng,1908,https://covers.openlibrary.org/b/id/2789948-L.jpg,https://openlibrary.org/works/OL505730W
Travels with Charley,John Steinbeck,"Description and travel, Travel, Biography",4.0555553,18.0,No description available,256,9780670002511,eng,1962,https://covers.openlibrary.org/b/id/8219483-L.jpg,https://openlibrary.org/works/OL23192W
Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,"Pirsig, Robert M., Biography, Description and travel",3.824,125.0,"I can see by my watch, without taking my hand from the left grip of the cycle, that it is eight-thirty in the morning.",421,0061908029,srp,1974,https://covers.openlibrary.org/b/id/10673266-L.jpg,https://openlibrary.org/works/OL827357W
Heretics,Gilbert Keith Chesterton,"Criticism, English Authors, English essays",3.1538463,13.0,"NOTHING more strangely indicates an enormous and silent evil of modern society than the extraordinary use which is made nowadays of the word ""orthodox.""",166,9798513997757,eng,1905,https://covers.openlibrary.org/b/id/1754959-L.jpg,https://openlibrary.org/works/OL76482W
At the Back of the North Wind,George MacDonald,"Fairy tales, Children's fiction, Fiction, mystery & detective, general",4.3333335,3.0,I HAVE been asked to tell you about the back of the North Wind.,303,9781548632090,eng,1871,https://covers.openlibrary.org/b/id/8245161-L.jpg,https://openlibrary.org/works/OL15451W
Memoirs of a Revolutionist,Peter Kropotkin,"Anarchism, Anarchism and anarchists, Anarchists",5.0,1.0,No description available,504,3897719029,eng,1899,https://covers.openlibrary.org/b/id/7901883-L.jpg,https://openlibrary.org/works/OL1105384W
I Know Why the Caged Bird Sings,Maya Angelou,"Social life and customs, Biography,, Entertainers",4.152174,46.0,"""WHEN I was three and Bailey four, we had arrived in the mustly little town, wearing tags on our wrists which instructed-""""To Whom It May Concern""""-that we were Marguerite and Bailey Johnson Jr., from Long Beach, California, en route to Stamps, Arkansas, c/o """,281,0553108425,spa,1969,https://covers.openlibrary.org/b/id/9367075-L.jpg,https://openlibrary.org/works/OL80021W
Abraham Lincoln,Carl Sandburg,"Biography, History, Lincoln, Abraham, 1809-1865",4.076923,26.0,"IN THE year 1776, when the 13 American colonies gave to the world their famous Declaration of Independence, there was a captain of Virginia militia living in Rockingham County named Abraham Lincoln.",640,0151006407,eng,1926,https://covers.openlibrary.org/b/id/2560515-L.jpg,https://openlibrary.org/works/OL1164736W
Boy,Roald Dahl,"Social life and customs, English Authors, Youth",4.0,38.0,"My father, Harald Dahl, was a Norwegian who came from a small down near Oslo, called Sarpsborg.",179,2070333930,ita,1984,https://covers.openlibrary.org/b/id/8232489-L.jpg,https://openlibrary.org/works/OL45887W
Ἀνάβασις,Xenophon,"History, Cyrus, the younger, approximately 423 b.c.-approximately 401 b.c., Iran, history, to 640",3.6666667,6.0,"Darius and Parysatis had two sons: the elder was named Artaxerxes, and I the younger Cyrus.",309,1588275221,grc,1623,https://covers.openlibrary.org/b/id/6133592-L.jpg,https://openlibrary.org/works/OL687015W
Autobiografía Malcolm X,Alex Haley,"Mahometanos negros, Black Muslims, Open Library Staff Picks",4.269231,26.0,"When my mother was pregnant with me, she told me later, a party of hooded Ku Klux Klan riders galloped up to our home in Omaha, Nebraska, one night.",462,9782246139928,eng,1965,https://covers.openlibrary.org/b/id/7259420-L.jpg,https://openlibrary.org/works/OL1815443W
A Tramp Abroad,Mark Twain,"American Authors, Americans, Americans in fiction",3.4166667,12.0,One day it occurred to me that it had been many years since the world had been afforded the spectacle of a man adventurous enough to undertake a journey through Europe on foot.,411,9798720320645,chi,1878,https://covers.openlibrary.org/b/id/9168741-L.jpg,https://openlibrary.org/works/OL53918W
On Writing,Stephen King,"writing, Salem’s Lot, science fiction",4.1375,80.0,No description available,288,9789100169954,eng,1999,https://covers.openlibrary.org/b/id/9255939-L.jpg,https://openlibrary.org/works/OL81601W
Legenda aurea,Jacobus de Voragine,"Christian saints, Early works to 1800, Biography",,,"The apostle James was called James of Zebedee, James brother of John, Boanerges, i.e., son of thunder, and James the Greater.",641,9780691001531,eng,1476,https://covers.openlibrary.org/b/id/6284843-L.jpg,https://openlibrary.org/works/OL813733W
Visage volé,Latifa,"Social conditions, Politics and government, Biography",2.1,10.0,"9 A.M., September 27, 1996. Someone knocks violently on our door.",210,8466401849,ita,2001,https://covers.openlibrary.org/b/id/2152042-L.jpg,https://openlibrary.org/works/OL5798945W
Collected papers,Sigmund Freud,"Addresses, essays, lectures, Biography, Case studies",,,No description available,320,9780883730102,eng,1906,https://covers.openlibrary.org/b/id/8242841-L.jpg,https://openlibrary.org/works/OL1069221W
Hitler,Alan Bullock,"Prime ministers, Biography, Politics and government",5.0,4.0,"Adolf Hitler was born at half past six on the evening of 20 April 1889, in the Gasthof zum Pommer, an inn in the small town of Braunau on the River Inn which forms the frontier between Austria and Bavaria.",790,9780061311239,eng,1704,https://covers.openlibrary.org/b/id/14981204-L.jpg,https://openlibrary.org/works/OL31424429W
The worldly philosophers,Robert L. Heilbroner,"Economics, Economists, History",4.431818,44.0,This is a book about a handful of men with a curious claim to fame.,342,0671201514,fre,1953,https://covers.openlibrary.org/b/id/15106531-L.jpg,https://openlibrary.org/works/OL1847023W
"Bartleby, the Scrivener",Herman Melville,"open_syllabus_project, Fiction, Young men",4.034483,29.0,No description available,67,9781583961810,ita,1966,https://covers.openlibrary.org/b/id/10521439-L.jpg,https://openlibrary.org/works/OL102732W
Maus I,Art Spiegelman,"New York Times bestseller, nyt:paperback_graphic_books=2011-09-17, graphic novel",4.509804,153.0,I went out to see my Father in Rego Park.,295,0679410384,por,1986,https://covers.openlibrary.org/b/id/10210168-L.jpg,https://openlibrary.org/works/OL2056818W
Autobiography,John Stuart Mill,"Biographies, Philosophy, Philosophers",4.0,4.0,"IT seems proper that I should prefix to the following biographical sketch, some mention of the reasons which have made me think it desirable that I should leave behind me such a memorial of so uneventful a life as mine.",240,9781451502121,eng,1873,https://covers.openlibrary.org/b/id/8982987-L.jpg,https://openlibrary.org/works/OL1068072W
Memorabilia,Xenophon,"Ancient Philosophers, Biography, Early works to 1800",3.3157895,19.0,I have often wondered by what arguments those who indicted[1] Socrates could have persuaded the Athenians that his life was justly forfeit to the state.,245,9781435303560,grc,1650,https://covers.openlibrary.org/b/id/6828030-L.jpg,https://openlibrary.org/works/OL687223W
Poems,Samuel Taylor Coleridge,"Poetry (poetic works by one author), Coleridge, samuel taylor, 1772-1834, English literature, history and criticism, 18th century",3.3333333,3.0,COLERIDGE IS A GREAT and daring poet.,371,0582341965,eng,1796,https://covers.openlibrary.org/b/id/11696250-L.jpg,https://openlibrary.org/works/OL26131W
Cyropaedia,Xenophon,"Biography, Cyrus, King of Persia, d. 529 B.C., Cyrus, in fiction",3.2631578,19.0,"[C.1] We have had occasion before now to reflect how often democracies have been overthrown by the desire for some other type of government, how often monarchies and oligarchies have been swept away by movements of the people, how often would-be despots have fallen in their turn, some at the outset by one stroke, while whose who have maintained their rule for ever so brief a season are looked upon with wonder as marvels of sagacity and success.",326,9780801438189,grc,1527,https://covers.openlibrary.org/b/id/6062894-L.jpg,https://openlibrary.org/works/OL687224W
Flush,Virginia Woolf,"Fiction, Dogs, Legends and stories",3.0,4.0,IT IS universally admitted that the family from which the subject of this memoir claims descent is one of the greatest antiquity.,157,0701205490,eng,1694,https://covers.openlibrary.org/b/id/116161-L.jpg,https://openlibrary.org/works/OL39320W
Black Boy,Richard Wright,"Social life and customs, African American authors, Biographies",4.0526314,19.0,"One winter morning in the long-ago, four-year-old days of my life I found myself standing before a fireplace, warming my hands over a mound of glowing coals, listening to the wind whistle past the house outside.",290,9780451023414,und,1945,https://covers.openlibrary.org/b/id/12707931-L.jpg,https://openlibrary.org/works/OL275946W
"Eat, Pray, Love",Elizabeth Gilbert,"Viajes, Travel, Biografía espiritual",3.5238094,42.0,I wish Giovanni would kiss me.,364,6073134916,eng,2001,https://covers.openlibrary.org/b/id/111433-L.jpg,https://openlibrary.org/works/OL41815W
My Secret Life,Walter,"Classic Literature, Fiction, Erotic literature",4.8,5.0,My earliest recollections of things sexual are of what I think must have occurred some time between my age of five and eight years.,418,9781873091050,eng,1966,https://covers.openlibrary.org/b/id/6685979-L.jpg,https://openlibrary.org/works/OL264676W
"Speak, Memory",Vladimir Nabokov,"American Authors, Biography, Russian Authors",3.75,4.0,"THE cradle rocks above an abyss, and common sense tells us that our existence is but a brief crack of light between two eternities of darkness.",287,0965724174,spa,1951,https://covers.openlibrary.org/b/id/225797-L.jpg,https://openlibrary.org/works/OL627083W
Roots,Alex Haley,"Blacks, History, African American families",4.6363635,22.0,"Early in the spring of 1750, in the village of Juffure, four days upriver from the coast of The Gambia, West Africa, a manchild was born to Omoro and Binta Kinte.",688,1784873381,spa,1861,https://covers.openlibrary.org/b/id/10027318-L.jpg,https://openlibrary.org/works/OL1815447W
Long Walk to Freedom,Nelson Mandela,"Biography, Politics and government, Presidents",4.75,16.0,"APART FROM LIFE, a strong constitution, and an abiding connection to the Thembu royal house, the only thing my father bestowed upon me at birth was a name, Rolihlahla.",643,9780748118182,eng,1994,https://covers.openlibrary.org/b/id/12702407-L.jpg,https://openlibrary.org/works/OL1783377W
The double helix,James D. Watson,"Désoxyribonucléique, acide, DNA, Molecular biology",3.5,6.0,I HAVE never seen Francis Crick in a modest mood.,195,0451037707,fre,1968,https://covers.openlibrary.org/b/id/4613920-L.jpg,https://openlibrary.org/works/OL2125469W
Sailing alone around the world,Joshua Slocum,"Spray (Sloop), Single-handed sailing, Sailing",4.0,4.0,"In the fair land of Nova Scotia, a maritime province, there is a ridge called North Mountain, overlooking the Bay of Fundy on one side and the fertile Annapolis valley on the other.",253,9798498983370,eng,1800,https://covers.openlibrary.org/b/id/8247067-L.jpg,https://openlibrary.org/works/OL59979W
A history of the English-speaking peoples,Winston S. Churchill,"History, Juvenile literature, Heroes",1.0,1.0,No description available,322,9780771020001,eng,1956,https://covers.openlibrary.org/b/id/6602132-L.jpg,https://openlibrary.org/works/OL134334W
Paula,Isabel Allende,"Chilean Authors, Familia, Family",3.75,4.0,"LISTEN, PAULA.",368,9788533209602,eng,1994,https://covers.openlibrary.org/b/id/8230367-L.jpg,https://openlibrary.org/works/OL1905373W
Dei delitte e delle pene,Cesare Beccaria,"Punishment, Crime and criminals, Capital punishment",5.0,1.0,"Cesare Beccaria (1738-1794) is known almost exclusively as the author of On Crimes and Punishments, a short book on criminal law reform that excited keen interest and great controversy when it was first published in 1764 and that still commands attention both for some of the issues it raises and for the answers it suggests.",191,1438299001,eng,1764,https://covers.openlibrary.org/b/id/8553099-L.jpg,https://openlibrary.org/works/OL1223677W
La Nuit,Elie Wiesel,"Holocaust literature, death marches, Talmud",4.372093,43.0,"They called him Moche the Beadle, as though he had never had a surname in his life.",135,3451048736,eng,1955,https://covers.openlibrary.org/b/id/9154540-L.jpg,https://openlibrary.org/works/OL14856842W
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E. L. Konigsburg,"Juvenile fiction, Large type books, Fiction",4.1666665,30.0,CLAUDIA KNEW THAT SHE COULD NEVER PULL OFF the old-fashioned kind of running away.,162,9781557360922,eng,1967,https://covers.openlibrary.org/b/id/541206-L.jpg,https://openlibrary.org/works/OL2987238W
Actes and monuments,John Foxe,"Martyrs, Christian martyrs, Chronology",4.3333335,3.0,"Christ our Savior, in the Gospel of St. Matthew, hearing the confession of Simon Peter, who, first of all other, openly acknowledged Him to be the Son of God, and perceiving the secret hand of His Father therein, called him (alluding to his name) a rock, upon which rock He would build His Church so strong that the gates of hell should not prevail against it.",589,9781419120589,eng,1563,https://covers.openlibrary.org/b/id/5948997-L.jpg,https://openlibrary.org/works/OL2290422W
Mein Weltbild,Albert Einstein,"Jews, Jews question, Legal status, laws",4.25,4.0,No description available,127,9780806527901,fre,1934,https://covers.openlibrary.org/b/id/5378174-L.jpg,https://openlibrary.org/works/OL1214254W
"The History of Rasselas, Prince of Abyssinia",Samuel Johnson,"Ethiopia, fiction, British and irish fiction (fictional works by one author), Princes",5.0,1.0,"YE who liften with credulity to the whifpers of fancy, and purfue with eagernefs the phantoms of hope ; who expect that age will perform the promifes of youth, and that the deficiencies of the prefent day will be fupplied by the morrow ; attend to the hiftory of Raffelas prince of Abiffinia.",203,9782904227790,eng,1759,https://covers.openlibrary.org/b/id/2035834-L.jpg,https://openlibrary.org/works/OL4558936W
The Second Jungle Book,Rudyard Kipling,"Romans, Enfants sauvages, Jungles",4.6,5.0,"The Law of the Jungle-which is by far the oldest law in the world-has arranged for almost every kind of accident that may befall the Jungle People, till now its code is as perfect as time and custom can make it.",178,9781505900484,fre,1887,https://covers.openlibrary.org/b/id/2140514-L.jpg,https://openlibrary.org/works/OL19926W
Relato de un náufrago,Gabriel García Márquez,"Biography, Sailors, Survival after airplane accidents, shipwrecks",4.5,6.0,No description available,128,0307350401,eng,1970,https://covers.openlibrary.org/b/id/9486827-L.jpg,https://openlibrary.org/works/OL274550W
Wild Swans,Jung Chang,"Mujeres en China, Biography, History",4.4444447,9.0,"At the age of fifteen my grandmother became the concubine of a warlord general, the police chief of a tenuous national government of China.",549,3426711486,eng,1991,https://covers.openlibrary.org/b/id/6809006-L.jpg,https://openlibrary.org/works/OL15845961W
Steve Jobs,Walter Isaacson,"TECHNOLOGY & ENGINEERING / General, History, Inc Apple Computer",4.1490684,161.0,No description available,665,4062171260,fre,2011,https://covers.openlibrary.org/b/id/12374726-L.jpg,https://openlibrary.org/works/OL16085155W
Plutarchi Vitae parallelae,Plutarch,"Politics and government, Greek authors, Civilization, Greco-Roman",3.75,4.0,No description available,338,8817171956,grc,1478,https://covers.openlibrary.org/b/id/6052566-L.jpg,https://openlibrary.org/works/OL723358W
The Hiding Place,Corrie ten Boom,"World war, 1939-1945, personal narratives, dutch, Ravensbrück (Concentration camp), World War 2 1939-1945",4.6,25.0,I jumped out of bed that morning with one question in my mind-sun or fog?,241,0912376058,eng,1971,https://covers.openlibrary.org/b/id/12817925-L.jpg,https://openlibrary.org/works/OL1915012W
Śmierć Miasta,Władysław Szpilman,"Biography, Jews, Holocaust, Jewish (1939-1945)",4.375,8.0,"I began my wartime career as a pianist in the Cafe Nowoczesna, which was in Nowolipki Street in the very heart of the Warsaw ghetto.",222,9780312996048,chi,1946,https://covers.openlibrary.org/b/id/6938171-L.jpg,https://openlibrary.org/works/OL15714637W
"Vite de' più eccellenti pittori, scultori et architettori",Giorgio Vasari,"History, Artists, Biography",3.0,4.0,"HAVING discussed drawing and painting in the life of Cimabue, and architecture in that of Arnolfo di Lapo, in this life of Nicola and of Giovanni Pisano I shall deal with sculpture, and also with the very important buildings which they created.",320,9683643884,fre,1759,https://covers.openlibrary.org/b/id/5883089-L.jpg,https://openlibrary.org/works/OL1298151W
Dreams from My Father,Barack Obama,"Racially mixed people, Racism, United states, race relations",3.8,10.0,"A few months after my twenty-first birthday, a stranger called to give me the news.",442,081292343X,eng,1995,https://covers.openlibrary.org/b/id/468548-L.jpg,https://openlibrary.org/works/OL3246382W
Life of Samuel Johnson,James Boswell,"Biography, Description and travel, English Authors",4.25,4.0,"To write the Life of him who excelled all mankind in writing the lives of others, and who, whether we consider his extraordinary endowments, or his various works, has been equalled by few in any age, is an arduous, and may be reckoned in me a presumptuous task.",618,1414283830,eng,1776,https://covers.openlibrary.org/b/id/5785491-L.jpg,https://openlibrary.org/works/OL16234621W
Mémoires d'une jeune fille rangée,Simone de Beauvoir,"Intellectual life, Childhood and youth, Biography",2.8333333,6.0,No description available,368,0140020306,eng,1900,https://covers.openlibrary.org/b/id/37132-L.jpg,https://openlibrary.org/works/OL260382W
"The Muqaddimah, an introduction to history",Ibn Khaldūn,"Early works to 1800, Philosophy, Civilization",4.857143,7.0,"It should be known that history, in matter of fact, is informan about human social organization, which itself is identical with world civilization.",512,9788475870731,eng,1858,https://covers.openlibrary.org/b/id/440215-L.jpg,https://openlibrary.org/works/OL1597257W
These Happy Golden Years,Laura Ingalls Wilder,"Juvenile fiction, Pioneer children, Frontier and pioneer life",3.875,16.0,"""I will, Pa"" Laura said earnestly.",304,0784830649,eng,1943,https://covers.openlibrary.org/b/id/5082694-L.jpg,https://openlibrary.org/works/OL1719702W
Into Thin Air,Jon Krakauer,"History, Adventure Consultants. Guided Expedition (1996 : Mount Everest), Adventure Consultants Guided Expedition (1996 : Mount Everest)",4.3783784,37.0,"Straddling the top of the world, one foot in China and the other in Nepal, I cleared the ice from my oxygen mask, hunched a shoulder against the wind, and stared absently down at the vastness of Tibet.",335,0553455893,chi,1996,https://covers.openlibrary.org/b/id/241603-L.jpg,https://openlibrary.org/works/OL1974548W
Going Solo,Roald Dahl,"1939-1945 World War, 20th century, Authors,English",4.1764708,17.0,No description available,209,014134671X,fre,1986,https://covers.openlibrary.org/b/id/8311345-L.jpg,https://openlibrary.org/works/OL45875W
Frank Lloyd Wright,Frank Lloyd Wright,"Architectural drawing, Buildings, structures, History",5.0,1.0,No description available,182,4871405176,eng,1900,https://covers.openlibrary.org/b/id/14174567-L.jpg,https://openlibrary.org/works/OL961860W
Castillo interior o las moradas,Teresa of Avila,"Spiritual life, Catholic Church, J",3.5,2.0,"Today while I was beseeching the Beloved to speak through me (since I couldn't think of anything to say and had no idea how to begin to fulfill this particular vow of obedience), I had a vision that I will share with you now as a foundation we can build on.",249,9781094166018,fre,1882,https://covers.openlibrary.org/b/id/8243598-L.jpg,https://openlibrary.org/works/OL313299W
Детство; Отрочество; Юность,Лев Толстой,"Social conditions, Social problems, Childhood and youth",4.142857,7.0,"On the 12th of August 18-, exactly three days after my tenth birthday, for which I had received such wonderful presents, Karl Ivanych woke me at seven in the morning by hitting at a fly just over my head with a flap made of sugar-bag paper fastened to a stick.",382,1847491421,eng,1862,https://covers.openlibrary.org/b/id/8240391-L.jpg,https://openlibrary.org/works/OL15698346W
Two years before the mast,Richard Henry Dana,"Alert (Brig : 1843-1862), Large-type books, Pilgrim (Brig)",4.3333335,9.0,I am unwilling to present this narrative to the public without a few words in explanation of my reasons for publishing it.,383,148266352X,eng,1000,https://covers.openlibrary.org/b/id/8245243-L.jpg,https://openlibrary.org/works/OL1815550W
Longitude,Dava Sobel,"Royal Society, Harrison timekeepers, Kendall timekeepers",4.181818,33.0,"ONCE ON A WEDNESDAY excursion when I was a little girl, my father bought me a beaded wire ball that I loved.",192,9781439559321,eng,1995,https://covers.openlibrary.org/b/id/13654-L.jpg,https://openlibrary.org/works/OL265465W
The Last Days of Hitler,H. R. Trevor-Roper,"Biography, Heads of state, Death and burial",4.0,8.0,"NOW THAT the New Order is past, and the Thousand-Year Reich has crumbled in a decade, we are able at last, picking among the still rubble, to discover the truth about that fantastic and tragical episode.",284,9788484280613,spa,1947,https://covers.openlibrary.org/b/id/143328-L.jpg,https://openlibrary.org/works/OL4147253W
The Audacity of Hope,Barack Obama,"Politics and government, Ideals (Philosophy), Legislators",3.6190476,21.0,No description available,413,160847562X,rus,2006,https://covers.openlibrary.org/b/id/468766-L.jpg,https://openlibrary.org/works/OL3246392W
De bello judaico,Flavius Josephus,"Jews, History, Incunabula",3.0,1.0,"THE war of the Jews against the Romans was the greatest of our time; greater too, perhaps, than any recorded struggle whether between cities or nations.",491,9789684327627,eng,1481,https://covers.openlibrary.org/b/id/9805925-L.jpg,https://openlibrary.org/works/OL10464115W
"A child called ""it""",David J. Pelzer,"Biography, Abused children, Foster home care",4.5733333,75.0,"March 5, 1973, Daly City, California-I'm late.",168,9781484452851,eng,1987,https://covers.openlibrary.org/b/id/14559604-L.jpg,https://openlibrary.org/works/OL66946W
The Electric Kool-Aid Acid Test,Tom Wolfe,"Drug addiction, Travel, Recreational Drug Use",4.2222223,9.0,"THAT'S GOOD THINKING THERE, COOL BREEZE. COOL BREEZE is a kid with three or four days' beard sitting next to me on the stamped metal bottom of the open back part of a pickup truck.",416,9782020054140,rus,1968,https://covers.openlibrary.org/b/id/14839523-L.jpg,https://openlibrary.org/works/OL1925362W
Junky,William S. Burroughs,"Drug addicts, Heroin abuse, Fiction",3.85,20.0,No description available,160,9782264011039,eng,1953,https://covers.openlibrary.org/b/id/109160-L.jpg,https://openlibrary.org/works/OL258131W
The old wives' tale,Arnold Bennett,"Social life and customs, Older women, Franco-Prussian War, 1870-1871",3.5,2.0,"Those two girls, Constance and Sophia Baines, paid no heed to the manifold interest of their situation, of which, indeed, they had never been conscious.",588,0742625591,eng,1900,https://covers.openlibrary.org/b/id/8243350-L.jpg,https://openlibrary.org/works/OL109236W
L' Orlando furioso,Lodovico Ariosto,"Roland (Legendary character), Romances, Church of Ireland",4.6666665,3.0,"I SING of knights and ladies, of love and arms, of courtly chivalry, of courageous deeds-all from the time when the Moors crossed the sea from Africa and wrought havoc in France.",627,0140443118,eng,1545,https://covers.openlibrary.org/b/id/6532951-L.jpg,https://openlibrary.org/works/OL2899874W
A Distant Mirror,Barbara Tuchman,"Nobleza, Noblesse, Biographies",4.0,13.0,"Codiacum, supposedly derived from Codex, codicis, meaning a tree trunk stripped of its branches such as those the Gauls used to build their palisades.",691,0786175265,eng,1600,https://covers.openlibrary.org/b/id/5071195-L.jpg,https://openlibrary.org/works/OL3378547W
