Title,Author,Genre,Rating_Average,Rating_Counts,Description,Page_Numbers,ISBN,Language,Published_Year,Cover_URL,Book_Link
The Big Sleep,Raymond Chandler,"Fiction, Philip Marlowe (Fictitious character), Private investigators",4.05,20.0,"It was about eleven o'clock in the morning, mid October, with the sun not shining and a look of hard wet rain in the clearness of the foothills.",227,9787501426195,eng,1939,https://covers.openlibrary.org/b/id/7268475-L.jpg,https://openlibrary.org/works/OL15400582W
2001,Arthur C. Clarke,"Human-computer interaction, Computers, Fiction",4.195122,123.0,"The drought had lasted now for ten million years, and the reign of the terrible lizards had long since ended.",237,9781423336624,eng,1968,https://covers.openlibrary.org/b/id/11344400-L.jpg,https://openlibrary.org/works/OL17365W
Sparkling Cyanide,Agatha Christie,"Fiction in Spanish, Murder, Rosemary",3.9166667,12.0,"Iris Marle was thinking about her sister, Rosemary.",240,9780062074386,eng,1945,https://covers.openlibrary.org/b/id/10249704-L.jpg,https://openlibrary.org/works/OL471983W
De la terre à la lune,Jules Verne,"Continental european fiction (fictional works by one author), Fiction, science fiction, general, Ciencia-ficción",4.035714,28.0,"Mientras la guerra federal asolaba el territorio de los Estados Unidos, se fundo en la ciudad de Baltimore una nueva sociedad que muy pronto adquirió bastante influencia.",206,1537370340,eng,1865,https://covers.openlibrary.org/b/id/5943556-L.jpg,https://openlibrary.org/works/OL1099479W
The Story of Doctor Dolittle,Hugh Lofting,"Animals, Classic Literature, Children's stories",3.4285715,7.0,"ONCE upon a time, many years ago-when our grandfathers were little children-there was a doctor, and his name was Dolittle-John Dolittle, M.D. ""M.D."" means that he was a proper doctor and knew a whole lot.",156,9780688140014,ger,1920,https://covers.openlibrary.org/b/id/5262289-L.jpg,https://openlibrary.org/works/OL1449046W
At Bertram's Hotel,Agatha Christie,"Fiction, Jane Marple (Fictitious character), Women detectives",4.0666666,15.0,"In the heart of the West End, there are many quiet pockets, unknown to almost all but taxi drivers who traverse them with expert knowledge, and arrive triumphantly thereby at Park Lane, Berkeley Square, or South Audley Street.",248,9780060721442,eng,1965,https://covers.openlibrary.org/b/id/6379981-L.jpg,https://openlibrary.org/works/OL265415W
Casino Royale,Ian Fleming,"British, Fiction, Fiction in English",3.6052632,38.0,The scent and smoke and sweat of a casino are nauseating at three in the morning. Then the soul-erosion produced by high gambling--a compost of greed and fear and nervous tension--becomes unbearable and the senses awake and revolt from it.,192,1405087447,eng,1953,https://covers.openlibrary.org/b/id/5540820-L.jpg,https://openlibrary.org/works/OL85753W
Les Trois Mousquetaires,Alexandre Dumas,"History, Fiction, Swordsmen",4.1034484,29.0,THE town of Meung was used to disturbances of one sort or another because of the troubles times.,552,9788497943574,fin,1844,https://covers.openlibrary.org/b/id/11929973-L.jpg,https://openlibrary.org/works/OL36861W
Die Blechtrommel,Günter Grass,"Fiction, History, German Historical fiction",2.9285715,14.0,"GRANTED : I AM an inmate of a mental hospital; my keeper is watching me, he never lets me out of his sight; there's a peephole in the door, and my keeper's eye is the shade of brown that can never see through a blue-eyed type like me.",591,0375420576,eng,1959,https://covers.openlibrary.org/b/id/419922-L.jpg,https://openlibrary.org/works/OL67334W
The Awakening,Kate Chopin,"Adultery, American literature, Classic Literature",3.6666667,36.0,"A green and a yellow parrot, which hung in a cage outside the door, kept repeating over and over: ""Allez vous-en!",218,1772261661,eng,1899,https://covers.openlibrary.org/b/id/8750241-L.jpg,https://openlibrary.org/works/OL65430W
The Fellowship of the Ring,J.R.R. Tolkien,"Elves, Dwarves, evil",4.3612566,382.0,"THIS BOOK is largely concerned with Hobbits, and from its pages a reader may discover much of their character and a little of their history.",496,9789022533758,jpn,1954,https://covers.openlibrary.org/b/id/14627060-L.jpg,https://openlibrary.org/works/OL27513W
The Mirror Crack'd from Side to Side,Agatha Christie,"Fiction, Mystery, Jane Marple (Fictitious character)",4.4444447,18.0,Miss Jane Marple was sitting by her window.,240,0061002852,eng,1960,https://covers.openlibrary.org/b/id/10561150-L.jpg,https://openlibrary.org/works/OL471990W
Noli Me Tangere,José Rizal,"Economics, Classic Literature, Fiction",4.4,10.0,Don Santiago de los Santos was giving a dinner party one evening towards the end of October in the 1880s.,449,1986068412,eng,1902,https://covers.openlibrary.org/b/id/5738053-L.jpg,https://openlibrary.org/works/OL1622789W
When the Sleeper Awakes,H. G. Wells,"Fiction, Twenty-first century, Technological innovations",3.6363637,11.0,No description available,278,9781576460481,ita,1899,https://covers.openlibrary.org/b/id/574886-L.jpg,https://openlibrary.org/works/OL52151W
The Martian Chronicles,Ray Bradbury,"American Science fiction, Ciencia-ficción, Drama",4.0857143,105.0,"One minute it was Ohio winter, with doors closed, windows locked, the panes blind with frost, icicles fringing every roof, children skiing on slopes, housewives lumbering like great black bears in their furs along the icy streets.",262,9788445013229,eng,1950,https://covers.openlibrary.org/b/id/9346537-L.jpg,https://openlibrary.org/works/OL103134W
The Great God Pan,Arthur Machen,"austin osman spare, arthur machen, pan",3.512195,41.0,"I am glad you came, Clarke; very glad indeed.",73,9781419164682,dut,1894,https://covers.openlibrary.org/b/id/921610-L.jpg,https://openlibrary.org/works/OL3388961W
Lust for Life,Irving Stone,"Open Library Staff Picks, Fiction, Painters",4.2,15.0,"VICE-ADMIRAL JOHANNES VAN GOGH, highest ranking officer in the Dutch Navy, stood on the stoep of his roomy, rent-free residence at the rear of the Navy Yard.",444,9789574446476,eng,1934,https://covers.openlibrary.org/b/id/6617761-L.jpg,https://openlibrary.org/works/OL112003W
Charlie and the Great Glass Elevator,Roald Dahl,"Charlie Bucket (Fictitious character), Juvenile fiction, Children's fiction",3.528302,53.0,"THE LAST TIME WE SAW CHARLIE, he was riding high above his home town in the Great Glass Elevator.",176,0241327334,eng,1972,https://covers.openlibrary.org/b/id/7893583-L.jpg,https://openlibrary.org/works/OL45793W
The Daughter of Time,Josephine Tey,"Alan Grant (Fictitious character), Fiction, Police",3.4444444,9.0,Grant lay on his high white cot and stared at the ceiling.,207,6055162458,eng,1951,https://covers.openlibrary.org/b/id/6485299-L.jpg,https://openlibrary.org/works/OL80947W
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,"Fiction, Physicians, Physicians in fiction",3.9481483,135.0,"Since its publication in 1886, The Strange Case of Dr. Jekyll and Mr. Hyde has remained continuously in print and has been translated over eighty times and into more than thirty languages.",130,9780361082082,eng,1875,https://covers.openlibrary.org/b/id/295773-L.jpg,https://openlibrary.org/works/OL24156W
The Waves,Virginia Woolf,"British and irish fiction (fictional works by one author), Fiction, psychological, Friendship, fiction",4.3846154,13.0,THE sun had not yet risen.,256,063117723X,eng,1931,https://covers.openlibrary.org/b/id/119517-L.jpg,https://openlibrary.org/works/OL39316W
The Bell Jar,Sylvia Plath,"women college students, summer, Classics",4.2295084,61.0,"It was a queer, sultry summer, the summer they electrocuted the Rosenbergs, and I didn't know what I was doing in New York.",258,0812415140,eng,1948,https://covers.openlibrary.org/b/id/8477115-L.jpg,https://openlibrary.org/works/OL1865528W
Daisy Miller,Henry James,"Fiction, Americans, Young women",3.0,4.0,"At the little town of Vevey, in Switzerland, there is a particularly comfortable hotel.",75,1984351656,eng,1877,https://covers.openlibrary.org/b/id/6482238-L.jpg,https://openlibrary.org/works/OL276328W
The Sign of Four,Arthur Conan Doyle,"Crime & Mystery, classic fiction, Andamanese",4.2168674,83.0,"Sherlock Holmes took his bottle from the corner of the mantelpiece, and his hypodermic syringe from its neat morocco case.",156,1081481226,srp,1889,https://covers.openlibrary.org/b/id/9247987-L.jpg,https://openlibrary.org/works/OL262438W
Vanity Fair,William Makepeace Thackeray,"Social life and customs, fiction, Women, fiction, Waterloo, Battle of (Belgium : 1815) fast (OCoLC)fst01172689",4.3,10.0,"WHILE the present century was in its teens, and on one sunshiny morning in June, there drove up to the great iron gate of Miss Pinkerton's academy for young ladies, on Chiswick Mall, a large family coach, with two fat horses in blazing harness, driven by a fat coachman in a three-cornered hat and wig, at the rate of four miles an hour.",699,0812449436,eng,1800,https://covers.openlibrary.org/b/id/417329-L.jpg,https://openlibrary.org/works/OL16313W
Sense and Sensibility,Jane Austen,"Fiction, Romance, Historical, Regency, Inheritance and succession, fiction, Mate selection, fiction",3.857143,42.0,THE family of Dashwood had been long settled in Sussex.,352,1790314925,eng,1811,https://covers.openlibrary.org/b/id/9278292-L.jpg,https://openlibrary.org/works/OL66562W
Ethan Frome,Edith Wharton,"Accident victims, American fiction (fictional works by one author), American literature",4.0,42.0,"I HAD the story, bit by bit, from various people and, as generally happens in such cases, each time it was a different story.",98,9781976143663,eng,1910,https://covers.openlibrary.org/b/id/8303480-L.jpg,https://openlibrary.org/works/OL98501W
The Secret Agent,Joseph Conrad,"Anarchists, fiction, Conspiracies, fiction, Bombings, fiction",4.076923,26.0,"The bell, hung on the door by means of a curved ribbon of steel, was difficult to circumvent.",272,1727578376,eng,1907,https://covers.openlibrary.org/b/id/8239401-L.jpg,https://openlibrary.org/works/OL39108W
The Jungle Book,Rudyard Kipling,"Jungles, Fiction, Juvenile fiction",4.081081,37.0,It was seven o'clock on a warm evening in India's Seeonee hills when Father Wolf woke from his day's rest.,192,9798412954561,eng,1893,https://covers.openlibrary.org/b/id/3344204-L.jpg,https://openlibrary.org/works/OL19870W
The Horse and His Boy,C. S. Lewis,"Fantasy, Children's fiction, Allegory",3.9487178,78.0,"THIS IS THE STORY OF AN ADVENTURE that happened in Narnia and Calormen and the lands between, in the Golden Age when Peter was High King in Narnia and his brother and his two sisters were King and Queens under him.",208,9780816140930,eng,1954,https://covers.openlibrary.org/b/id/9184792-L.jpg,https://openlibrary.org/works/OL71058W
The Witches,Roald Dahl,"Fiction, Witches, Grandmothers",4.1477275,88.0,I myself had two separate encounters with witches before I was eight years old.,208,9783150090800,eng,1983,https://covers.openlibrary.org/b/id/12374442-L.jpg,https://openlibrary.org/works/OL45886W
The Scarlet Letter,Nathaniel Hawthorne,"Fiction, Puritans, Puritans in fiction",3.3613446,119.0,"A THRONG of bearded men, in sad-colored garments and gray, steeple-crowned hats, intermixed with women, some wearing hoods, and others bareheaded, was assembled in front of a wooden edifice, the door of which was heavily timbered with oak, and studded with iron spikes.",289,1542046165,eng,1850,https://covers.openlibrary.org/b/id/5654516-L.jpg,https://openlibrary.org/works/OL455305W
Hercule Poirot's Christmas,Agatha Christie,"Hercule Poirot (Fictitious character), Private investigators, Murder",4.0454545,22.0,STEPHEN pulled up the collar of his coat as he walked briskly along the platform.,221,8483001616,eng,1939,https://covers.openlibrary.org/b/id/12855074-L.jpg,https://openlibrary.org/works/OL471841W
They Do It with Mirrors,Agatha Christie,"Fiction, Jane Marple (Fictitious character), Women detectives",4.3333335,9.0,Mrs. Van Rydock moved a little back from the mirror and sighed.,207,350255966X,eng,1952,https://covers.openlibrary.org/b/id/10249524-L.jpg,https://openlibrary.org/works/OL471871W
Five Children and It,Edith Nesbit,"Fiction, Fairies, Wishes",4.0,7.0,"The house was three miles from the station, but before the dusty hired fly had rattled along for five minutes the children began to put their heads out of the carriage window and to say, 'Aren't we nearly there?'",150,1306356903,eng,1905,https://covers.openlibrary.org/b/id/28174-L.jpg,https://openlibrary.org/works/OL99499W
The Hitch Hiker's Guide to the Galaxy,Douglas Adams,"comic science fiction, Vogons, Humorous fiction",4.556886,167.0,Far out in the uncharted backwaters of the unfashionable end of the Western Spiral Arm of the Galaxy lies a small unregarded yellow sun.,216,2070319016,eng,1979,https://covers.openlibrary.org/b/id/12986869-L.jpg,https://openlibrary.org/works/OL2163649W
Notre Dame de Paris,Victor Hugo,"Man-woman relationships, fiction, Sko nlitteratur, Fiction",4.1136365,44.0,"Триста сорок восемь лет шесть месяцев и девятнадцать дней тому назад парижане проснулись под перезвон всех колоколов, которые неистовствовали за тремя оградами Ситэ, Университетской стороны и Города.",436,9782080704412,eng,1831,https://covers.openlibrary.org/b/id/2626880-L.jpg,https://openlibrary.org/works/OL15202030W
Orlando,Virginia Woolf,"Nobility in fiction, Gender identity in fiction, Fiction",4.3157897,19.0,"HE-for there could be no doubt of his sex, though the fashion of the time did something to disguise it-was in the act of slicing at the head of a Moor which swung from the rafters.",226,9798624409477,eng,1928,https://covers.openlibrary.org/b/id/3240273-L.jpg,https://openlibrary.org/works/OL39360W
Prince Caspian,C. S. Lewis,"Fantasy, Narnia (Imaginary place), Princes",3.9375,96.0,"Once there were four children whose names were Peter, Susan, Edmund, and Lucy, and it has been told in another book called The Lion, the Witch and the Wardrobe how they had a remarkable adventure.",216,0606226931,eng,1951,https://covers.openlibrary.org/b/id/45897-L.jpg,https://openlibrary.org/works/OL71069W
El túnel,Ernesto Sabato,"Spanish fiction, Spanish language, Spanish language books",4.114286,35.0,"Bastará decir que soy Juan Pablo Castel, el pintor que mató a María Iribarne; supongo que el proceso está en el recuerdo de todos y que no se necesitan mayores explicaciones sobre mi persona.",151,9780613814546,baq,1948,https://covers.openlibrary.org/b/id/5517733-L.jpg,https://openlibrary.org/works/OL617847W
Uncle Tom's Cabin,Harriet Beecher Stowe,"Master and servant, Slavery, Plantation life",4.05,20.0,"Very many years ago, instead of having servants to wait upon them and work for them, people used to have slaves.",451,1567405738,eng,1850,https://covers.openlibrary.org/b/id/12728198-L.jpg,https://openlibrary.org/works/OL152161W
Les Misérables,Victor Hugo,"Poor, Fiction, Readers",4.24,50.0,"IN 1815, Monsieur Charles Francois-Bienvenu Myriel was Bishop of D-.",520,9781607108160,eng,1862,https://covers.openlibrary.org/b/id/12721865-L.jpg,https://openlibrary.org/works/OL1063588W
Crooked House,Agatha Christie,"Mystery, Fiction, Jane Marple (Fictitious character)",4.3,10.0,I first came to know Sophia Leonides in Egypt towards the end of the war.,215,9781405678131,eng,1949,https://covers.openlibrary.org/b/id/14570595-L.jpg,https://openlibrary.org/works/OL471891W
The most dangerous game,Richard Connell,"Fiction, Hunting, Islands",3.857143,21.0,No description available,32,9781479454129,eng,1990,https://covers.openlibrary.org/b/id/8561531-L.jpg,https://openlibrary.org/works/OL5278311W
Bleak House,Charles Dickens,"Fiction, Guardian and ward, Young women",3.875,16.0,"LONDON. MICHAELMAS TERM LATELY OVER, AND THE LORD Chancellor sitting in Lincoln's Inn Hall.",815,1843548534,eng,1850,https://covers.openlibrary.org/b/id/9279273-L.jpg,https://openlibrary.org/works/OL14868510W
The Wonderful Wizard of Oz,L. Frank Baum,"Witches, Toy and movable books, Spanish language materials",3.944,125.0,"OROTHY lived in the midst of the great Kansas prairies, with Uncle Henry, who was a farmer, and Aunt Em, who was the farmer's wife.",159,9781976546457,baq,1899,https://covers.openlibrary.org/b/id/552443-L.jpg,https://openlibrary.org/works/OL18417W
The Railway Children,Edith Nesbit,"Brothers and sisters, Children's stories, Classic Literature",3.9285715,28.0,The beginning of things - They were not railway children at the beginning...,176,0099582996,eng,1900,https://covers.openlibrary.org/b/id/13241123-L.jpg,https://openlibrary.org/works/OL99509W
The Handmaid's Tale,Margaret Atwood,"brothels, Canadian authors, Canadian fantasy fiction",3.9504132,121.0,We slept in what had once been the gymnasium.,350,9789655522594,ukr,1985,https://covers.openlibrary.org/b/id/8231851-L.jpg,https://openlibrary.org/works/OL675783W
Rayuela,Julio Cortázar,"Chronology, Social life and customs, Spanish fiction",4.1,10.0,WOULD I find La Maga?,633,9781548833152,tur,1963,https://covers.openlibrary.org/b/id/1047466-L.jpg,https://openlibrary.org/works/OL14860424W
The Big Four,Agatha Christie,"Fiction, Mystery, Private investigators",4.181818,22.0,"I have met people who enjoy a channel crossing; men who can sit calmly in their deck-chairs and, on arrival, wait until the boat is moored, then gather their belongings together without fuss and disembark.",223,9780553350418,eng,1927,https://covers.openlibrary.org/b/id/12996529-L.jpg,https://openlibrary.org/works/OL471947W
The Man Who Knew Too Much,Gilbert Keith Chesterton,"Fiction, English Detective and mystery stories, Aristocracy (Social class)",3.9411764,17.0,"Harold March, the rising reviewer and social critic, was walking vigorously across a great tableland of moors and commons, the horizon of which was fringed with the far-off woods of the famous estate of Torwood Park.",156,1554496934,chi,1922,https://covers.openlibrary.org/b/id/12897858-L.jpg,https://openlibrary.org/works/OL76468W
Sonnenfinsternis,Arthur Koestler,"Fiction, History, Moscow Trials, Moscow, Russia, 1936-1937",4.2,15.0,De celdeur sloeg achter Roebasjow dicht.,254,0025652109,eng,1940,https://covers.openlibrary.org/b/id/368797-L.jpg,https://openlibrary.org/works/OL804246W
Peter Pan,J. M. Barrie,"Open Library Staff Picks, English Children's fiction, Pop-up books",3.7272727,44.0,"ALL children, expect one, grow up.",183,1786820870,eng,1911,https://covers.openlibrary.org/b/id/8237052-L.jpg,https://openlibrary.org/works/OL462007W
El Conde de Montecristo,Alexandre Dumas,"France -- History -- 19th century -- Fiction, France, Fiction",4.280423,189.0,"Il 28 febbraio 1815 la vedetta di Notre-Dame-de-la-Garde segnalò il tre alberi Pharaon, proveniente da Smirne, Trieste e Napoli.",593,9781537566528,jpn,1830,https://covers.openlibrary.org/b/id/14566393-L.jpg,https://openlibrary.org/works/OL36287W
The Secret Garden,Frances Hodgson Burnett,"Fiction, general, Friendship, fiction, People with disabilities, fiction",3.965909,88.0,When Mary Lennox was sent to Misselthwaite Manor to live with her uncle everybody said she was the most disagreeable looking child ever seen.,256,9798499975633,eng,1911,https://covers.openlibrary.org/b/id/12622062-L.jpg,https://openlibrary.org/works/OL69612W
Записки изъ подполья,Фёдор Михайлович Достоевский,"Fiction, Officials and employees, History",4.193548,31.0,I am a sick man.,158,9780553211443,eng,1960,https://covers.openlibrary.org/b/id/9415092-L.jpg,https://openlibrary.org/works/OL166899W
Dune,Frank Herbert,"Dune (Imaginary place), Fiction, Fiction, science fiction, general",4.296837,411.0,"IN THE week before their departure to Arrakis, when all the final scurrying about had reached a nearly unbearable frenzy, an old crone came to visit the mother of the boy, Paul.",592,1439501661,eng,1965,https://covers.openlibrary.org/b/id/11481354-L.jpg,https://openlibrary.org/works/OL893415W
Du côté de chez Swann,Marcel Proust,"Comics & graphic novels, general, France, fiction, Early memories",4.0,8.0,Longtemps je me suis couché de bonne heure.,440,9781974694457,eng,1908,https://covers.openlibrary.org/b/id/11967344-L.jpg,https://openlibrary.org/works/OL30053009W
The Fall of the House of Usher,Edgar Allan Poe,"American fiction (fictional works by one author), short stories (single author), American Horror tales",4.2777777,18.0,No description available,38,9781072814078,eng,1704,https://covers.openlibrary.org/b/id/11838138-L.jpg,https://openlibrary.org/works/OL41078W
Memórias póstumas de Brás Cubas,Machado de Assis,"Romance brasileiro, Continental european fiction (fictional works by one author), Social life and customs",3.6875,16.0,"Que Stendhal confessasse ter escrito um dos seus livros para cem leitores, coisa é que admira e consterna.",242,9798618236188,eng,1881,https://covers.openlibrary.org/b/id/123152-L.jpg,https://openlibrary.org/works/OL1003017W
Nemesis,Agatha Christie,"Fiction, Mystery, Women detectives",4.090909,11.0,In the afternoons it was the custom of Miss Jane Marple to unfold her second newspaper.,230,2702419143,eng,1970,https://covers.openlibrary.org/b/id/10249139-L.jpg,https://openlibrary.org/works/OL472594W
Our Mutual Friend,Charles Dickens,"Social life and customs, Classic Literature, Deception",2.6,5.0,"IN these times of ours, though concerning the exact year there is no need to be precise, a boat of dirty and disreputable appearance, with two figures in it, floated on the Thames, between South Bridge which is of iron, and London Bridge which is of stone, as an autumn evening was closing in.",796,9798559629445,eng,1800,https://covers.openlibrary.org/b/id/13136200-L.jpg,https://openlibrary.org/works/OL13162727W
Death in the Clouds,Agatha Christie,"Detective and mystery stories, Fiction, Hercule Poirot (Fictitious character)",4.2941175,17.0,No description available,251,8447368181,eng,1935,https://covers.openlibrary.org/b/id/11433305-L.jpg,https://openlibrary.org/works/OL472324W
Persuasion,Jane Austen,"Fiction, Romance, Historical, Regency, Love stories, English, Moški in ženske",4.1666665,48.0,"Sir Walter Elliot, of Kellynch-hall, in Somersetshire, was a man who, for his own amusement, never took up any book but the Baronetage; there he found occupation for an idle hour, and consolation in a distressed one; there his faculties were roused into admiration and respect, by contemplating the limited remnant of the earliest patents; there any unwelcome sensations, arising from domestic affairs, changed naturally into pity and contempt, as he turned over the almost endless creations of the last century-and there, if every other leaf were powerless, he could read his own history with an interest which never failed-this was the page at which the favourite volume always opened:",268,1983215465,eng,1789,https://covers.openlibrary.org/b/id/12824691-L.jpg,https://openlibrary.org/works/OL66544W
"Tom Sawyer, Detective",Mark Twain,"Fiction, Tom Sawyer (Fictitious character), American Authors",4.181818,11.0,"Well, it was the next spring after me and Tom Sawyer set our old nigger Jim free, the time he was chained up for a runaway slave down there on Tom's uncle Silas's farm in Arkansaw.",92,1980568308,spa,1897,https://covers.openlibrary.org/b/id/8923621-L.jpg,https://openlibrary.org/works/OL54147W
Five Little Pigs,Agatha Christie,"Hercule Poirot (Fictitious character), Private investigators, Detective and mystery stories",4.0,19.0,HERCULE Poirot looked with interest and appreciation at the young woman who was being ushered into the room.,233,9798694893855,eng,1942,https://covers.openlibrary.org/b/id/14578138-L.jpg,https://openlibrary.org/works/OL471666W
Peril at End House,Agatha Christie,"Captain Hastings (Fictitious character), English Detective and mystery stories, Fiction",4.142857,21.0,"NO seaside town in the south of England is, I think, as attractive as St. Loo.",224,9789504908074,eng,1932,https://covers.openlibrary.org/b/id/12996556-L.jpg,https://openlibrary.org/works/OL472165W
The Great Gatsby,F. Scott Fitzgerald,"Married people, fiction, American fiction (fictional works by one author), Fiction, psychological",3.9646466,198.0,In my younger and more vulnerable years my father gave me some advice that I've been turning over in my mind ever since.,186,9781848703629,heb,1920,https://covers.openlibrary.org/b/id/10590366-L.jpg,https://openlibrary.org/works/OL468431W
The Mysterious Affair at Styles,Agatha Christie,"Fiction, Mystery, Crime Fiction",4.012346,81.0,"The intense interest aroused in the public by what was known at the time as ""The Styles Case"" has now somewhat subsided.",204,9781983692284,eng,1920,https://covers.openlibrary.org/b/id/13699667-L.jpg,https://openlibrary.org/works/OL472715W
Flatland,Edwin Abbott Abbott,"Fourth dimension, Fiction, general, Open Library Staff Picks",3.9081633,98.0,"Spoken by Horatio, in William Shakespeare's Hamlet, act 1, scene 5, line 164. Hamlet has just been conversing with his father's ghost, who is now speaking from under the stage.",110,1099380006,chi,1884,https://covers.openlibrary.org/b/id/10069547-L.jpg,https://openlibrary.org/works/OL118388W
The Man Who Was Thursday,Gilbert Keith Chesterton,"Anarchists, Novela de misterio, Police",3.4642856,28.0,"THE suburb of Saffron Park lay on the sunset side of London, as red and ragged as a cloud of sunset.",162,9781722404895,eng,1908,https://covers.openlibrary.org/b/id/8242857-L.jpg,https://openlibrary.org/works/OL76487W
Преступление и наказание,Фёдор Михайлович Достоевский,"English Translations, Russian literature, Novela psicológica",4.1944447,108.0,h,537,0785795227,ukr,1866,https://covers.openlibrary.org/b/id/9411873-L.jpg,https://openlibrary.org/works/OL166894W
Emma,Jane Austen,"Social life and customs, Mate selection, Fiction",3.9818182,55.0,"Emma Woodhouse, handsome, clever, and rich, with a comfortable home and happy disposition, seemed to unite some of the best blessings of existence; and had lived nearly twenty-one years in the world with very little to distress or vex her.",457,9798451132463,elx,1815,https://covers.openlibrary.org/b/id/9278312-L.jpg,https://openlibrary.org/works/OL66513W
Tender is the Night,F. Scott Fitzgerald,"Fiction, Psychiatrists, Wealth",3.8947368,19.0,No description available,352,9780007449484,eng,1933,https://covers.openlibrary.org/b/id/6984433-L.jpg,https://openlibrary.org/works/OL468485W
This Side of Paradise,F. Scott Fitzgerald,"Fiction, Romance, Historical""",3.9411764,17.0,"Amory Blaine inherited from his mother every trait, except the stray inexpressible few, that made him worth while.",288,9781980807155,eng,1920,https://covers.openlibrary.org/b/id/8243609-L.jpg,https://openlibrary.org/works/OL468488W
The Return of the King,J.R.R. Tolkien,"Elves, Hobbits, The Lord of the Rings",4.4326925,104.0,Pippin espiou de dentro do abrigo da capa de Gandalf.,505,0544449746,baq,1950,https://covers.openlibrary.org/b/id/14627062-L.jpg,https://openlibrary.org/works/OL27455W
Little men,Louisa May Alcott,"Louisa May Alcott, Children, Children's",3.8421052,19.0,No description available,286,9781790858101,fre,1885,https://covers.openlibrary.org/b/id/8043576-L.jpg,https://openlibrary.org/works/OL17761452W
La casa de los espíritus,Isabel Allende,"Chilean literature, Translations into English, Spanish American literature",4.35,20.0,"Barrabás llegó a la familia por vía marítima, anotó la niña Clara con su delicada caligrafía.",453,9783763231690,eng,1982,https://covers.openlibrary.org/b/id/3205226-L.jpg,https://openlibrary.org/works/OL1905255W
Wuthering Heights,Emily Brontë,"form:novel, genre:tragedy, genre:gothic",4.074627,268.0,1801-I have just returned from a visit to my landlord-the solitary neighbour that I shall be troubled with.,318,9781542467827,jpn,1846,https://covers.openlibrary.org/b/id/12818862-L.jpg,https://openlibrary.org/works/OL21177W
Записки изъ подполья,Фёдор Михайлович Достоевский,"Fiction, History, Officials and employees",4.25,4.0,"The ellipsis after the opening sentence of Notes from Underground is like a window affording us a first glimpse of one of the most remarkable characters in literature, one who has been placed among the bearers of modern consciousness alongside Don Quixote, Hamlet, and Faust.",130,1503055582,eng,1864,https://covers.openlibrary.org/b/id/12644033-L.jpg,https://openlibrary.org/works/OL25571500W
L’étranger,Albert Camus,"Philosophical Novels, Murder, Fiction",4.092437,119.0,Vandaag is moeder gestorven.,143,9798497298451,jpn,1942,https://covers.openlibrary.org/b/id/13151269-L.jpg,https://openlibrary.org/works/OL1230613W
A Portrait of the Artist as a Young Man,James Joyce,"Fiction, Artists, Young men",3.3157895,38.0,Once upon a time and a very good time it was there was a moocow coming down along the road and this moocow that was coming down along the road met a nicens little boy named baby tuckoo,252,8881831546,eng,1818,https://covers.openlibrary.org/b/id/9328410-L.jpg,https://openlibrary.org/works/OL86343W
Смерть Ивана Ильича,Лев Толстой,"Literature, Manners and customs in fiction, Novellas",4.1363635,44.0,"In the large building housing the Law Courts, during a recess in the Melvinsky proceedings, members of the court and the public prosecutor met in the office of Ivan Egorovich Shebek, where the conversation turned on the celebrated Krasov case.",92,9780241251768,fre,1887,https://covers.openlibrary.org/b/id/419697-L.jpg,https://openlibrary.org/works/OL267174W
Hard Times,Charles Dickens,"Fiction, Social problems, Utilitarianism",3.9047618,21.0,"""Now, what I want is, Facts.",327,0321107217,por,1854,https://covers.openlibrary.org/b/id/8236916-L.jpg,https://openlibrary.org/works/OL8193387W
Three Men in a Boat (to say nothing of the dog),Jerome Klapka Jérôme,"Humorous stories, Male friendship, Description and travel",3.9375,32.0,"THERE were four of us - George, and William Samuel Harris, and myself, and Montmorency.",184,9781077598799,eng,1889,https://covers.openlibrary.org/b/id/8243006-L.jpg,https://openlibrary.org/works/OL1793164W
To the Lighthouse,Virginia Woolf,"Fiction, Married people, Death",3.7586207,29.0,No description available,242,9798734589137,eng,1927,https://covers.openlibrary.org/b/id/8231846-L.jpg,https://openlibrary.org/works/OL39396W
Vingt mille lieues sous les mers,Jules Verne,"Toy and movable books, Fiction, Specimens",4.05,60.0,"THE YEAR 1866 was signalized by a remarkable incident, a mysterious and inexplicable phenomenon, which doubtless no one has yet forgotten.",324,2731235462,eng,1870,https://covers.openlibrary.org/b/id/6573517-L.jpg,https://openlibrary.org/works/OL1099280W
King Solomon's Mines,H. Rider Haggard,"Children's fiction, Mines and mineral resources, fiction, Adventure and adventurers, fiction",4.185185,27.0,IT is a curious thing that at my age-fifty-five last birthday-I should find myself taking up a pen to try and write a history.,220,1512099872,baq,1880,https://covers.openlibrary.org/b/id/8665393-L.jpg,https://openlibrary.org/works/OL17448W
Oliver Twist,Charles Dickens,"Bildungsromans, Boys, Brigands and robbers",4.027397,73.0,"""Please, sir, I want some more,"" the little boy said.",414,9780883013946,ukr,1822,https://covers.openlibrary.org/b/id/13300802-L.jpg,https://openlibrary.org/works/OL8193478W
